index,id,section,bucket,persona,priority,en,no,workout_catalog,motivation_stage,instruction_urgency
22,coach.intense.intense.4,coach.intense,coach.intense.intense,personal_trainer,core,YES! Hold on! Ten more!,JA! Hold ut! Ti til!,,,
23,cont.critical.1,cont.critical,cont.critical.1,personal_trainer,core,STOP!,STOPP!,,,
24,cont.critical.2,cont.critical,cont.critical.2,personal_trainer,core,Breathe slow!,Pust rolig!,,,
25,cont.critical.3,cont.critical,cont.critical.3,personal_trainer,core,Easy now!,Ta det rolig!,,,
26,cont.critical.4,cont.critical,cont.critical.4,personal_trainer,core,Slow down!,Senk farten!,,,
27,cont.critical.5,cont.critical,cont.critical.5,personal_trainer,core,Too hard!,For hardt!,,,
28,cont.warmup.1,cont.warmup,cont.warmup.1,personal_trainer,core,"Easy pace, nice start.","Rolig tempo, fin start.",,,
29,cont.warmup.2,cont.warmup,cont.warmup.2,personal_trainer,core,"Steady, good warmup.","Jevnt, god oppvarming.",,,
30,cont.warmup.3,cont.warmup,cont.warmup.3,personal_trainer,core,"Gentle, keep warming up.","Rolig, fortsett oppvarmingen.",,,
31,cont.warmup.4,cont.warmup,cont.warmup.4,personal_trainer,core,Nice and easy.,Fint og rolig.,,,
32,cont.warmup.5,cont.warmup,cont.warmup.5,personal_trainer,core,Perfect warmup pace.,Perfekt oppvarmingstempo.,,,
33,cont.cooldown.1,cont.cooldown,cont.cooldown.1,personal_trainer,core,"Bring it down, easy now.","Senk tempoet, ta det rolig nå.",,,
34,cont.cooldown.2,cont.cooldown,cont.cooldown.2,personal_trainer,core,"Slow breaths, good cooldown.","Rolige pust, god nedkjøling.",,,
35,cont.cooldown.3,cont.cooldown,cont.cooldown.3,personal_trainer,core,"Ease off, nice work.","Slipp av, bra jobbet.",,,
36,cont.cooldown.4,cont.cooldown,cont.cooldown.4,personal_trainer,core,"Almost done, slow it.","Nesten ferdig, senk farten.",,,
37,cont.cooldown.5,cont.cooldown,cont.cooldown.5,personal_trainer,core,"Perfect, keep slowing down.","Perfekt, fortsett å roe ned.",,,
38,cont.intense.calm.1,cont.intense,cont.intense.calm,personal_trainer,core,You can push harder!,Du kan presse hardere!,,,
39,cont.intense.calm.2,cont.intense,cont.intense.calm,personal_trainer,core,"More effort, you got this!","Mer innsats, du klarer det!",,,
40,cont.intense.calm.3,cont.intense,cont.intense.calm,personal_trainer,core,Speed up a bit!,Øk tempoet.,,,
41,cont.intense.calm.4,cont.intense,cont.intense.calm,personal_trainer,core,Give me more power!,Mer press nå!,,,
42,cont.intense.calm.5,cont.intense,cont.intense.calm,personal_trainer,core,Let's pick up the pace!,La oss øke farten!,,,
43,cont.intense.mod.1,cont.intense,cont.intense.mod,personal_trainer,core,"Keep going, good pace!","Fortsett, godt tempo!",,,
44,cont.intense.mod.2,cont.intense,cont.intense.mod,personal_trainer,core,Stay with it!,Hold deg fokusert!,,,
45,cont.intense.mod.3,cont.intense,cont.intense.mod,personal_trainer,core,"Nice rhythm, maintain!",Bra tempo!,,,
46,cont.intense.mod.4,cont.intense,cont.intense.mod,personal_trainer,core,You got this!,Du klarer det!,,,
47,cont.intense.mod.5,cont.intense,cont.intense.mod,personal_trainer,core,"Good work, keep steady!",Bra jobba! Hold jevnt tempo.,,,
48,cont.intense.intense.1,cont.intense,cont.intense.intense,personal_trainer,core,Perfect! Hold it!,Perfekt! Hold tempoet!,,,
49,cont.intense.intense.2,cont.intense,cont.intense.intense,personal_trainer,core,Yes! Strong!,Ja! Sterkt!,,,
50,cont.intense.intense.3,cont.intense,cont.intense.intense,personal_trainer,core,Keep this!,Behold dette!,,,
51,cont.intense.intense.4,cont.intense,cont.intense.intense,personal_trainer,core,Excellent work!,Utmerket jobbet!,,,
52,cont.intense.intense.5,cont.intense,cont.intense.intense,personal_trainer,core,Ten more seconds!,Ti sekunder til!,,,
53,toxic.warmup.1,toxic.warmup,toxic.warmup.1,toxic_mode,extended,Warming up?! We're WASTING TIME!,Oppvarming?! Vi KASTER BORT TID!,,,
54,toxic.warmup.2,toxic.warmup,toxic.warmup.2,toxic_mode,extended,Move FASTER or go home!,Beveg deg RASKERE eller gå hjem!,,,
55,toxic.warmup.3,toxic.warmup,toxic.warmup.3,toxic_mode,extended,My GRANDMOTHER warms up faster!,BESTEMORA mi varmer opp raskere!,,,
56,toxic.warmup.4,toxic.warmup,toxic.warmup.4,toxic_mode,extended,This is PATHETIC! Let's GO!,Dette er PATETISK! La oss KJØRE!,,,
57,toxic.warmup.5,toxic.warmup,toxic.warmup.5,toxic_mode,extended,You call this a warmup? I call it a NAP!,Kaller du dette oppvarming? Jeg kaller det en LITEN BLUND!,,,
58,toxic.intense.calm.1,toxic.intense,toxic.intense.calm,toxic_mode,extended,PATHETIC! My grandma pushes harder!,PATETISK! Bestemora mi presser hardere!,,,
59,toxic.intense.calm.2,toxic.intense,toxic.intense.calm,toxic_mode,extended,Are you even TRYING?! MOVE!,PRØVER du i det hele tatt?! BEVEG DEG!,,,
60,toxic.intense.calm.3,toxic.intense,toxic.intense.calm,toxic_mode,extended,I've seen SNAILS with more intensity!,Jeg har sett SNEGLER med mer intensitet!,,,
61,toxic.intense.calm.4,toxic.intense,toxic.intense.calm,toxic_mode,extended,Is that ALL you got?! EMBARRASSING!,Er det ALT du har?! PINLIG!,,,
62,toxic.intense.calm.5,toxic.intense,toxic.intense.calm,toxic_mode,extended,WAKE UP! This isn't a spa day!,VÅKN OPP! Dette er ikke en spa-dag!,,,
63,toxic.intense.mod.1,toxic.intense,toxic.intense.mod,toxic_mode,extended,Barely acceptable. Give me MORE!,Så vidt godkjent. Gi meg MER!,,,
64,toxic.intense.mod.2,toxic.intense,toxic.intense.mod,toxic_mode,extended,You can do better than THAT!,Du kan bedre enn DET!,,,
65,toxic.intense.mod.3,toxic.intense,toxic.intense.mod,toxic_mode,extended,I'm NOT impressed yet. HARDER!,Jeg er IKKE imponert ennå. HARDERE!,,,
66,toxic.intense.mod.4,toxic.intense,toxic.intense.mod,toxic_mode,extended,Keep going or I'll double it!,Fortsett ellers dobler jeg det!,,,
67,toxic.intense.mod.5,toxic.intense,toxic.intense.mod,toxic_mode,extended,That's it?! Push HARDER!,Er det alt?! TRYKK HARDERE!,,,
68,toxic.intense.intense.1,toxic.intense,toxic.intense.intense,toxic_mode,extended,FINALLY! Was that so hard?!,ENDELIG! Var det så vanskelig?!,,,
69,toxic.intense.intense.2,toxic.intense,toxic.intense.intense,toxic_mode,extended,NOW we're talking! Don't you DARE slow down!,NÅ snakker vi! Ikke VÅG å senke farten!,,,
70,toxic.intense.intense.3,toxic.intense,toxic.intense.intense,toxic_mode,extended,THERE it is! About TIME!,DER er det! På TIDE!,,,
71,toxic.intense.intense.4,toxic.intense,toxic.intense.intense,toxic_mode,extended,YES! That's what I want! MORE!,JA! Det er det jeg vil ha! MER!,,,
72,toxic.intense.intense.5,toxic.intense,toxic.intense.intense,toxic_mode,extended,Not bad. But I want BETTER!,Ikke verst. Men jeg vil ha BEDRE!,,,
73,toxic.cooldown.1,toxic.cooldown,toxic.cooldown.1,toxic_mode,extended,Done already?! Fine. You EARNED this break.,Ferdig allerede?! Greit. Du FORTJENTE denne pausen.,,,
74,toxic.cooldown.2,toxic.cooldown,toxic.cooldown.2,toxic_mode,extended,"Okay, okay. You survived. Barely.","Ok, ok. Du overlevde. Så vidt.",,,
75,toxic.cooldown.3,toxic.cooldown,toxic.cooldown.3,toxic_mode,extended,Not the worst I've seen. Rest up.,Ikke det verste jeg har sett. Hvil deg.,,,
76,toxic.cooldown.4,toxic.cooldown,toxic.cooldown.4,toxic_mode,extended,Acceptable performance. BARELY acceptable.,Godkjent prestasjon. Så vidt godkjent.,,,
77,toxic.cooldown.5,toxic.cooldown,toxic.cooldown.5,toxic_mode,extended,"Alright, breathe. You'll need it for next time.","Greit, pust. Du trenger det til neste gang.",,,
78,toxic.critical.1,toxic.critical,toxic.critical.1,toxic_mode,extended,"Alright, real talk. Breathe. Safety first.","Ok, alvor nå. Pust. Sikkerhet først.",,,
79,toxic.critical.2,toxic.critical,toxic.critical.2,toxic_mode,extended,"Okay, stop. I'm tough, not stupid. Rest.","Ok, stopp. Jeg er toff, ikke dum. Hvil.",,,
80,toxic.critical.3,toxic.critical,toxic.critical.3,toxic_mode,extended,Hey. Real break. Breathe slow. I mean it.,Hei. Ordentlig pause. Pust rolig. Jeg mener det.,,,
81,breath.prep.1,breath.prep,breath.prep.1,personal_trainer,core,"Alright, let's get ready.","Greit, la oss gjøre oss klare.",,,
82,breath.prep.2,breath.prep,breath.prep.2,personal_trainer,core,Drink some water if you need to.,Drikk litt vann om du trenger.,,,
83,breath.prep.3,breath.prep,breath.prep.3,personal_trainer,core,Stretch out anything that feels tight.,Tøy ut det som kjennes stramt.,,,
84,breath.prep.4,breath.prep,breath.prep.4,personal_trainer,core,We start in a moment. Take a deep breath.,Vi starter snart. Ta et dypt pust.,,,
85,breath.prep.5,breath.prep,breath.prep.5,personal_trainer,core,"Remember: if you need to stop at any point, just stop. Listen to your body.","Husk: om du trenger å stoppe, bare stopp. Lytt til kroppen.",,,
86,breath.prep.6,breath.prep,breath.prep.6,personal_trainer,core,Shake it out. Loosen up.,Rist det ut. Slapp av.,,,
87,breath.prep.safety.1,breath.prep,breath.prep.safety,personal_trainer,core,"If anything feels wrong during the workout, stop immediately. Your safety comes first.","Hvis noe føles feil under økten, stopp med en gang. Din sikkerhet kommer først.",,,
88,breath.warmup.1,breath.warmup,breath.warmup.1,personal_trainer,core,Find your rhythm. Steady breaths.,Finn rytmen. Jevne pust.,,,
89,breath.warmup.2,breath.warmup,breath.warmup.2,personal_trainer,core,Easy breathing. Let it flow.,Rolig pust. La det flyte.,,,
90,breath.warmup.3,breath.warmup,breath.warmup.3,personal_trainer,core,"Shoulders down, chest open.","Skuldrene ned, brystet åpent.",,,
91,breath.warmup.4,breath.warmup,breath.warmup.4,personal_trainer,core,Nice and controlled. Build slowly.,Fint og kontrollert. Bygg sakte.,,,
92,breath.warmup.5,breath.warmup,breath.warmup.5,personal_trainer,core,Breathe through the nose if you can.,Pust gjennom nesen om du kan.,,,
93,breath.intense.1,breath.intense,breath.intense.1,personal_trainer,core,Breathe through it.,Pust gjennom det.,,,
94,breath.intense.2,breath.intense,breath.intense.2,personal_trainer,core,Strong exhale. Power.,Sterk utpust. Kraft.,,,
95,breath.intense.3,breath.intense,breath.intense.3,personal_trainer,core,Don't hold your breath.,Ikke hold pusten.,,,
96,breath.intense.4,breath.intense,breath.intense.4,personal_trainer,core,Exhale on the effort.,Pust ut på innsatsen.,,,
97,breath.intense.5,breath.intense,breath.intense.5,personal_trainer,core,Keep breathing. Stay with it.,Fortsett å puste. Hold deg i det.,,,
98,breath.recovery.1,breath.recovery,breath.recovery.1,personal_trainer,core,Slow it down. In four... out six.,Senk tempoet. Inn fire... ut seks.,,,
99,breath.recovery.2,breath.recovery,breath.recovery.2,personal_trainer,core,Long exhale. Let the tension go.,Lang utpust. Slipp spenningen.,,,
100,breath.recovery.3,breath.recovery,breath.recovery.3,personal_trainer,core,Recovery breath. Nice and slow.,Hvilepust. Fint og rolig.,,,
101,breath.recovery.4,breath.recovery,breath.recovery.4,personal_trainer,core,Breathe deep. You earned this.,Pust dypt. Du fortjente dette.,,,
102,breath.recovery.5,breath.recovery,breath.recovery.5,personal_trainer,core,Slow nose breathing. Good.,Rolig nesepust. Bra.,,,
103,breath.cooldown.1,breath.cooldown,breath.cooldown.1,personal_trainer,core,Deep breath in... slow breath out.,Dypt inn... sakte ut.,,,
104,breath.cooldown.2,breath.cooldown,breath.cooldown.2,personal_trainer,core,You earned this. Breathe deep.,Du fortjente dette. Pust dypt.,,,
105,breath.cooldown.3,breath.cooldown,breath.cooldown.3,personal_trainer,core,Let your breathing return to normal.,La pusten komme tilbake til normalt.,,,
106,breath.cooldown.4,breath.cooldown,breath.cooldown.4,personal_trainer,core,Relax everything. Just breathe.,Slapp av alt. Bare pust.,,,
107,breath.cooldown.5,breath.cooldown,breath.cooldown.5,personal_trainer,core,Great session. Wind it down.,Bra økt. Ro det ned.,,,
108,breath.interrupt.cant_breathe.1,breath.interrupt,breath.interrupt.cant_breathe,personal_trainer,core,That's okay. Slow way down. Breathe through your nose.,Det er greit. Senk farten. Pust gjennom nesen.,,,
109,breath.interrupt.slow_down.1,breath.interrupt,breath.interrupt.slow_down,personal_trainer,core,Slowing down. Match my count. In... two... three...,Vi senker tempoet. Følg tellingen. Inn... to... tre...,,,
110,breath.interrupt.dizzy.1,breath.interrupt,breath.interrupt.dizzy,personal_trainer,core,Stop moving. Sit down if you need to. Slow nose breathing.,Stopp. Sett deg ned om du trenger. Rolig nesepust.,,,
111,wake_ack.en.default,wake_ack.en,wake_ack.en.default,personal_trainer,core,Yes?,Yes?,,,
112,wake_ack.no.default,wake_ack.no,wake_ack.no.default,personal_trainer,core,Ja?,Ja?,,,
113,wake_ack.en.candidate.1,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Listening.,Listening.,,,
114,wake_ack.en.candidate.2,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Go on.,Go on.,,,
115,wake_ack.en.candidate.3,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Yep?,Yep?,,,
116,wake_ack.en.candidate.4,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Tell me.,Tell me.,,,
117,wake_ack.en.candidate.5,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Ready.,Ready.,,,
118,wake_ack.en.candidate.6,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Go.,Go.,,,
119,wake_ack.en.candidate.7,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,I'm here.,I'm here.,,,
120,wake_ack.en.candidate.8,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Speak.,Speak.,,,
121,wake_ack.en.candidate.9,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Alright.,Alright.,,,
122,wake_ack.en.candidate.10,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Go ahead.,Go ahead.,,,
123,wake_ack.en.candidate.11,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Okay.,Okay.,,,
124,wake_ack.en.candidate.12,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,I'm listening.,I'm listening.,,,
125,wake_ack.en.candidate.13,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,What's up?,What's up?,,,
126,wake_ack.en.candidate.14,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Talk to me.,Talk to me.,,,
127,wake_ack.en.candidate.15,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Let's go.,Let's go.,,,
128,wake_ack.en.candidate.16,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Talk.,Talk.,,,
129,wake_ack.en.candidate.17,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Hit me.,Hit me.,,,
130,wake_ack.en.candidate.18,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,What's good?,What's good?,,,
131,wake_ack.en.candidate.19,wake_ack.en,wake_ack.en.candidate,personal_trainer,extended,Go for it.,Go for it.,,,
132,wake_ack.no.candidate.1,wake_ack.no,wake_ack.no.candidate,personal_trainer,extended,Ja?,Ja?,,,
133,wake_ack.no.candidate.2,wake_ack.no,wake_ack.no.candidate,personal_trainer,extended,Klar.,Klar.,,,
134,wake_ack.no.candidate.3,wake_ack.no,wake_ack.no.candidate,personal_trainer,extended,Jeg hører.,Jeg hører.,,,
135,wake_ack.no.candidate.4,wake_ack.no,wake_ack.no.candidate,personal_trainer,extended,Hva skjer?,Hva skjer?,,,
136,zone.watch_disconnected.1,zone.watch_disconnected,zone.watch_disconnected.1,personal_trainer,core,Watch disconnected,Pulsklokken ble frakoblet.,context,,
137,zone.no_sensors.1,zone.no_sensors,zone.no_sensors.1,personal_trainer,core,Coaching by breath.,Coacher med pust.,context,,
138,zone.watch_restored.1,zone.watch_restored,zone.watch_restored.1,personal_trainer,core,Watch connected and heart rate is back.,"Klokken er tilkoblet, og pulsen er tilbake.",context,,
139,zone.countdown.30,zone.countdown,zone.countdown.30,personal_trainer,core,30 seconds left.,30 sekunder.,progress,,
140,zone.countdown.15,zone.countdown,zone.countdown.15,personal_trainer,core,15,15,progress,,
141,zone.countdown.5,zone.countdown,zone.countdown.5,personal_trainer,core,5!,fem,progress,,
142,zone.countdown.start,zone.countdown,zone.countdown.start,personal_trainer,core,Go,Start,progress,,
143,zone.main_started.1,zone.main_started,zone.main_started.1,personal_trainer,core,Main set now.,Nå er du i hoveddelen.,context,,
144,zone.workout_finished.1,zone.workout_finished,zone.workout_finished.1,personal_trainer,core,Workout finished. Nice work.,Økten er ferdig. Bra jobbet.,progress,,
145,zone.hr_poor_enter.1,zone.hr_poor_enter,zone.hr_poor_enter.1,personal_trainer,core,Heart rate signal is weak.,Pulssignalet er svakt.,context,,
146,zone.hr_poor_exit.1,zone.hr_poor_exit,zone.hr_poor_exit.1,personal_trainer,core,Heart rate is back.,Pulsen er tilbake.,context,,
147,zone.hr_poor_timing.1,zone.hr_poor_timing,zone.hr_poor_timing.1,personal_trainer,core,No heart rate signal. I will continue coaching,Ingen pulssignal. Jeg fortsetter å coache,context,,
148,zone.above.minimal.1,zone.above,zone.above.minimal,personal_trainer,core,Ease off 10-15 seconds.,Litt ned 10-15 sekunder.,instruction,,corrective
149,zone.above.default.1,zone.above,zone.above.default,personal_trainer,core,Ease back slightly.,Ro ned litt.,instruction,,corrective
150,zone.above_ease.minimal.1,zone.above_ease,zone.above_ease.minimal,personal_trainer,core,HR still climbing. Ease down.,Pulsen stiger. Rolig ned.,,,
151,zone.above_ease.default.1,zone.above_ease,zone.above_ease.default,personal_trainer,core,Still high. Ease down 20 seconds.,Fortsatt høy. Ro ned 20 sekunder.,,,
152,zone.below.minimal.1,zone.below,zone.below.minimal,personal_trainer,core,Build slightly now.,Bygg litt opp nå.,instruction,,corrective
153,zone.below.default.1,zone.below,zone.below.default,personal_trainer,core,Pick it up.,Øk litt nå.,instruction,,corrective
154,zone.below_push.minimal.1,zone.below_push,zone.below_push.minimal,personal_trainer,core,You're moving. Add a little.,Du er i gang. Litt opp.,,,
155,zone.below_push.default.1,zone.below_push,zone.below_push.default,personal_trainer,core,You're moving. Pick it up slightly.,Du er i gang. Øk litt.,,,
156,zone.in_zone.minimal.1,zone.in_zone,zone.in_zone.minimal,personal_trainer,core,Good. Stay here.,Bli her.,instruction,,corrective
157,zone.in_zone.default.1,zone.in_zone,zone.in_zone.default,personal_trainer,core,Stay right here.,Bli her.,instruction,,corrective
158,zone.phase.work.default.1,zone.phase,zone.phase.work,personal_trainer,core,Work starts now.,Nå begynner innsatsen.,context,,
159,zone.phase.work.motivational.1,zone.phase,zone.phase.work,personal_trainer,core,Time to work.,Nå jobber vi.,context,,
160,zone.phase.rest.1,zone.phase,zone.phase.rest,personal_trainer,core,Recovery now.,Pause nå.,context,,
161,zone.phase.warmup.1,zone.phase,zone.phase.warmup,personal_trainer,core,Prepare for the session.,Forbered deg på økten.,context,,
162,zone.phase.cooldown.1,zone.phase,zone.phase.cooldown,personal_trainer,core,Cooldown now.,Nå roer vi ned.,context,,
163,zone.pause.detected.1,zone.pause,zone.pause.detected,personal_trainer,core,Paused session,Pauset økten.,context,,
164,zone.pause.resumed.1,zone.pause,zone.pause.resumed,personal_trainer,core,You're moving again.,Du er i gang igjen.,context,,
165,zone.structure.work.1,zone.structure,zone.structure.work,personal_trainer,core,Pick it up now.,Kjør på nå.,instruction,,corrective
166,zone.structure.recovery.1,zone.structure,zone.structure.recovery,personal_trainer,core,Ease back and recover.,Ro ned og hent deg inn.,instruction,,corrective
167,zone.structure.steady.1,zone.structure,zone.structure.steady,personal_trainer,core,Settle into the pace.,Finn rytmen.,instruction,,corrective
168,zone.structure.steady.2,zone.structure,zone.structure.steady,personal_trainer,core,Stay with the rhythm.,Bli i rytmen.,instruction,,corrective
169,zone.structure.steady.3,zone.structure,zone.structure.steady,personal_trainer,core,Stay smooth and relaxed.,Rolig og avslappet.,instruction,,corrective
170,zone.structure.steady.4,zone.structure,zone.structure.steady,personal_trainer,core,Control the effort here.,Kontroll på innsatsen.,instruction,,corrective
171,zone.structure.steady.5,zone.structure,zone.structure.steady,personal_trainer,core,Keep the pace steady.,Hold tempoet jevnt.,instruction,,corrective
172,zone.structure.steady.6,zone.structure,zone.structure.steady,personal_trainer,core,Hold the phase.,Hold det her.,instruction,,corrective
173,zone.structure.finish.1,zone.structure,zone.structure.finish,personal_trainer,core,Final push now!,Trykk til nå!,instruction,,corrective
174,zone.silence.work.1,zone.silence,zone.silence.work,personal_trainer,core,Hold the rhythm.,Hold rytmen.,instruction,,low_urgency
175,zone.silence.rest.1,zone.silence,zone.silence.rest,personal_trainer,core,Relax your shoulders.,Senk skuldrene.,instruction,,low_urgency
176,zone.silence.default.1,zone.silence,zone.silence.default,personal_trainer,core,Find your pace.,Finn rytmen.,instruction,,low_urgency
177,zone.feel.easy_run.1,zone.feel,zone.feel.easy_run,personal_trainer,core,Steady effort. Stay comfortable.,Jevn innsats. Hold det behagelig.,,,
178,zone.feel.easy_run.2,zone.feel,zone.feel.easy_run,personal_trainer,core,Find your rhythm and hold it.,Finn rytmen din og hold den.,,,
179,zone.feel.easy_run.3,zone.feel,zone.feel.easy_run,personal_trainer,core,Easy and controlled. You set the pace.,Rolig og kontrollert. Du bestemmer tempoet.,,,
180,zone.feel.work.1,zone.feel,zone.feel.work,personal_trainer,core,Push hard but controlled.,Hold en jevn rytme,,,
181,zone.feel.work.2,zone.feel,zone.feel.work,personal_trainer,core,Strong effort now. Stay focused.,Sterk innsats nå. Hold fokus.,,,
182,zone.feel.recovery.1,zone.feel,zone.feel.recovery,personal_trainer,core,Ease off. Let your body recover.,Slipp av. La kroppen hente seg inn.,,,
183,zone.feel.recovery.2,zone.feel,zone.feel.recovery,personal_trainer,core,Relax and breathe. Recovery counts.,Slapp av og pust. Hvile teller.,,,
184,zone.breath.easy_run.1,zone.breath,zone.breath.easy_run,personal_trainer,core,Match your breathing to your pace.,Tilpass pusten til tempoet.,,,
185,zone.breath.easy_run.2,zone.breath,zone.breath.easy_run,personal_trainer,core,Smooth breaths. You're doing well.,Jevn pust. Du gjør det bra.,,,
186,zone.breath.work.1,zone.breath,zone.breath.work,personal_trainer,core,Breathe through the effort.,Herlig,,,
187,zone.breath.recovery.1,zone.breath,zone.breath.recovery,personal_trainer,core,Slow your breathing down.,Senk pustetakten.,,,
188,motivation.1,motivation.1,motivation.1,personal_trainer,core,Nice work!,Hold det sterkt.,motivation,legacy_fallback,
189,motivation.2,motivation.2,motivation.2,personal_trainer,core,Keep it up.,Bra jobba!,motivation,legacy_fallback,
190,motivation.3,motivation.3,motivation.3,personal_trainer,core,That's the effort I want to see.,Det skal kjennes litt. Det er prisen for endring..,motivation,legacy_fallback,
191,motivation.4,motivation.4,motivation.4,personal_trainer,core,One step at a time. You got this.,Ett steg om gangen. Du klarer det.,motivation,legacy_fallback,
192,motivation.5,motivation.5,motivation.5,personal_trainer,core,Discipline beats motivation. Keep going.,Disiplin slår motivasjon. Fortsett.,motivation,legacy_fallback,
193,motivation.6,motivation.6,motivation.6,personal_trainer,core,This is where it counts.,Det er nå det gjelder.,motivation,legacy_fallback,
194,motivation.7,motivation.7,motivation.7,personal_trainer,core,You showed up. thats the hard part.,Du møtte opp. Det er det vanskelige.,motivation,legacy_fallback,
195,motivation.8,motivation.8,motivation.8,personal_trainer,core,Trust the process.,Stol på prosessen.,motivation,legacy_fallback,
196,motivation.9,motivation.9,motivation.9,personal_trainer,core,Every rep matters.,Hvert steg teller.,motivation,legacy_fallback,
197,motivation.10,motivation.10,motivation.10,personal_trainer,core,Finish what you started.,Fullfør det du begynte på.,motivation,legacy_fallback,
198,coach.no.supportive.1,coach.no,coach.no.supportive,personal_trainer,core,Beautiful. Smooth and steady.,Nydelig. Jevnt og rolig.,,,
199,coach.no.supportive.2,coach.no,coach.no.supportive,personal_trainer,core,Focus on breath and rhythm.,Fokuser på pust og rytme.,,,
200,coach.no.supportive.3,coach.no,coach.no.supportive,personal_trainer,core,Come on now.,Kom igjen nå.,,,
201,coach.no.supportive.4,coach.no,coach.no.supportive,personal_trainer,core,Good. Breathe easy.,Bra. Pust rolig.,,,
