phrase_id,catalog,family,event,mode,english_current,norwegian_current,english_v2,norwegian_v2,active_status,action,notes
"easy_run.motivate.s1.1","motivation","easy_run.motivate.s1","easy_run_sustain_stage_1","HR","Go for it!","Kjør på!","Easy and smooth.","Rolig og lett.","active","replace_text","better for easy run"
"easy_run.motivate.s1.2","motivation","easy_run.motivate.s1","easy_run_sustain_stage_1","HR","Ease the pace. Good.","Senk tempoet. Godt.","Settle in.","Finn rytmen.","active","replace_text","cleaner start"
"easy_run.motivate.s2.1","motivation","easy_run.motivate.s2","easy_run_sustain_stage_2","HR","Steady pressure. Stay in control.","Hold trykket jevnt. Hold kontrollen.","Good rhythm.","Bra rytme.","active","replace_text","less intense"
"easy_run.motivate.s2.2","motivation","easy_run.motivate.s2","easy_run_sustain_stage_2","HR","YES!","JA!","Keep it steady.","Hold det jevnt.","active","replace_text","remove shouting"
"easy_run.motivate.s3.1","motivation","easy_run.motivate.s3","easy_run_sustain_stage_3","HR","Perfect.","Perfekt!","Nice work.","Bra jobba.","active","replace_text","calmer"
"easy_run.motivate.s3.2","motivation","easy_run.motivate.s3","easy_run_sustain_stage_3","HR","Good work!","Herlig!","Stay relaxed.","Hold deg avslappet.","active","replace_text","more useful"
"easy_run.motivate.s4.1","motivation","easy_run.motivate.s4","easy_run_sustain_stage_4","HR","Keep focused on your breath.","Hold fokuset på pusten.","Stay with it.","Stå i det.","active","replace_text","avoid technical breathing cue"
"easy_run.motivate.s4.2","motivation","easy_run.motivate.s4","easy_run_sustain_stage_4","HR","Nice work.","Herlig jobba!","Finish well.","Avslutt godt.","active","replace_text","more distinct final-stage cue"
"zone.above.minimal.1","instruction","zone.above","above_zone","HR","Ease off 10-15 seconds.","Litt ned 10-15 sekunder.","","","compatibility","compatibility_only","old style variant"
"zone.below.minimal.1","instruction","zone.below","below_zone","HR","Build slightly now.","Bygg litt opp nå.","","","compatibility","compatibility_only","old style variant"
"zone.in_zone.minimal.1","instruction","zone.in_zone","in_zone","HR","Good. Stay here.","Bra. Hold deg her.","","","compatibility","compatibility_only","duplicates default semantics"
"zone.above_ease.minimal.1","instruction","zone.above_ease","above_zone_ease","HR","HR still climbing. Ease down.","Pulsen stiger. Rolig ned.","","","compatibility","compatibility_only","sustained HR correction family"
"zone.above_ease.default.1","instruction","zone.above_ease","above_zone_ease","HR","Still high. Ease down 20 seconds.","Fortsatt høy. Ro ned 20 sekunder.","","","compatibility","compatibility_only","sustained HR correction family"
"zone.below_push.minimal.1","instruction","zone.below_push","below_zone_push","HR","You're moving. Add a little.","Du er i gang. Litt opp.","","","compatibility","compatibility_only","sustained HR correction family"
"zone.below_push.default.1","instruction","zone.below_push","below_zone_push","HR","You're moving. Pick it up slightly.","Du er i gang. Øk litt.","","","compatibility","compatibility_only","sustained HR correction family"
"motivation.1","motivation","motivation","legacy_fallback","HR","Perfect.","Herlig!","","","compatibility","compatibility_only","retire after staged parity"
"motivation.2","motivation","motivation","legacy_fallback","HR","Keep it up.","Perfekt!","","","compatibility","compatibility_only","retire after staged parity"
"motivation.3","motivation","motivation","legacy_fallback","HR","That's the effort I want to see.","Det skal kjennes litt. Det er prisen for endring..","","","compatibility","compatibility_only","retire after staged parity"
"motivation.4","motivation","motivation","legacy_fallback","HR","One step at a time. You got this.","Ett steg om gangen. Du klarer det.","","","compatibility","compatibility_only","retire after staged parity"
"motivation.5","motivation","motivation","legacy_fallback","HR","Discipline beats motivation. Keep going.","Disiplin slår motivasjon. Fortsett.","","","compatibility","compatibility_only","retire after staged parity"
"motivation.6","motivation","motivation","legacy_fallback","HR","This is where it counts.","Det er nå det gjelder.","","","compatibility","compatibility_only","retire after staged parity"
"motivation.7","motivation","motivation","legacy_fallback","HR","You showed up. thats the hard part.","Du møtte opp. Det er det vanskelige.","","","compatibility","compatibility_only","retire after staged parity"
"motivation.8","motivation","motivation","legacy_fallback","HR","Trust the process.","Stol på prosessen.","","","compatibility","compatibility_only","retire after staged parity"
"motivation.9","motivation","motivation","legacy_fallback","HR","Every rep matters.","Hvert steg teller.","","","compatibility","compatibility_only","retire after staged parity"
"motivation.10","motivation","motivation","legacy_fallback","HR","Finish what you started.","Fullfør det du begynte på.","","","compatibility","compatibility_only","retire after staged parity"
"zone.progress.minute_left.1","progress","zone.progress","minute_left","BOTH","","","One minute left.","Ett minutt igjen.","future","future_add","richer progress"
"zone.progress.two_intervals_left.1","progress","zone.progress","two_intervals_left","BOTH","","","Two intervals left.","To drag igjen.","future","future_add","richer interval progress"
"zone.progress.last_interval.1","progress","zone.progress","last_interval","BOTH","","","Last interval.","Siste drag.","future","future_add","richer interval progress"
"zone.progress.recovery_now.1","progress","zone.progress","recovery_now","BOTH","","","Recovery now.","Pause nå.","future","future_add","future-only"
"zone.progress.final_stretch.1","progress","zone.progress","final_stretch","BOTH","","","Final stretch now.","Siste del nå.","future","future_add","future-only"
